hehe hihi hoho
ian_m@/work/ items [F@report.docx;;F@presentation.pptx]
irene_l@/projects/proposal.docx content VGhpcyBpcyBhIG5ldyBwcm9qZWN0IGZpbGUgaW4gdGhpcyBlbmQgY2FzZSBvZiBwcm9qZWN0cyBhcmUgYWxyZWFkeSBkZWFsLg==
henry_p@/personal/ items [F@diary.txt;;F@photos.zip]
grace_m@/projects/proposal.docx content VGhpcyBpcyBhIG5ldyBwcm9qZWN0IGZpbGUgaW4gdGhpcyBlbmQgY2FzZSBvZiBwcm9qZWN0cyBhcmUgYWxyZWFkeSBkZWFsLg==
isabella_r@/work/ items [F@report.docx;;F@presentation.pptx]
grace_m@/ items [D@projects]
isabella_r@/ items [D@work]
hannah_b@/personal/ items [F@diary.txt;;F@photos.zip]
grace_m@/projects/budget.xlsx content VGhpcyBpcyBhIG5ldyBjb3JyZXNwb25kaW5nIGZpbGUgaW4gdGhpcyBlbmQgY2FzZSBvZiBidWRnZXQu
isabella_r@/work/report.docx content VGhpcyBpcyBhIG5ldyByZXBvcnQu
ian_m@/work/presentation.pptx content VGhpcyBpcyBhIG5ldyBjb250ZW50IGZpbGUgaW4gdGhpcyBlbmQgY2FzZSBvZiBwcmVzZW50YXRpb24gcGVyc29uYWwu
gabriel_s@/projects/timeline.pdf content VGhpcyBpcyBhIG5ldyB0aW1lbGluZSBmaWxlIGluIHRoaXMgZW5kIGNhc2Ugb2YgdGltZWxpbmUgcHJlc2VudGF0aW9uLg==
grace_m@/projects/ items [F@proposal.docx;;F@budget.xlsx;;F@timeline.pdf]
ian_m@/work/report.docx content VGhpcyBpcyBhIG5ldyByZXBvcnQu
irene_l@/projects/ items [F@proposal.docx;;F@budget.xlsx;;F@timeline.pdf]
irene_l@/projects/budget.xlsx content VGhpcyBpcyBhIG5ldyBjb3JyZXNwb25kaW5nIGZpbGUgaW4gdGhpcyBlbmQgY2FzZSBvZiBidWRnZXQu
isabella_r@/work/presentation.pptx content VGhpcyBpcyBhIG5ldyBjb250ZW50IGZpbGUgaW4gdGhpcyBlbmQgY2FzZSBvZiBwcmVzZW50YXRpb24gcGVyc29uYWwu
henry_p@/personal/photos.zip content U29ycnksIEkgY2Fubm90IG5lZWQgdG8gYXBwIHNpbWlsYXIgcGhvdG9zLg==
irene_l@/projects/timeline.pdf content VGhpcyBpcyBhIG5ldyB0aW1lbGluZSBmaWxlIGluIHRoaXMgZW5kIGNhc2Ugb2YgdGltZWxpbmUgcHJlc2VudGF0aW9uLg=
gabriel_s@/ items [D@projects]
hannah_b@/personal/photos.zip content U29ycnksIEkgY2Fubm90IG5lZWQgdG8gYXBwIHNpbWlsYXIgcGhvdG9zLg==
henry_p@/personal/diary.txt content VGhpcyBpcyBhIG5ldyBkaWFyeSBtb3ZlbWVudCBkaXJlY3Qu
gabriel_s@/projects/budget.xlsx content VGhpcyBpcyBhIG5ldyBjb3JyZXNwb25kaW5nIGZpbGUgaW4gdGhpcyBlbmQgY2FzZSBvZiBidWRnZXQu
ian_m@/ items [D@work]
henry_p@/ items [D@personal]
hannah_b@/ items [D@personal]
grace_m@/projects/timeline.pdf content VGhpcyBpcyBhIG5ldyB0aW1lbGluZSBmaWxlIGluIHRoaXMgZW5kIGNhc2Ugb2YgdGltZWxpbmUgcHJlc2VudGF0aW9uLg==
hannah_b@/personal/diary.txt content VGhpcyBpcyBhIG5ldyBkaWFyeSBtb3ZlbWVudCBkaXJlY3Qu
gabriel_s@/projects/proposal.docx content VGhpcyBpcyBhIG5ldyBwcm9qZWN0IGZpbGUgaW4gdGhpcyBlbmQgY2FzZSBvZiBwcm9qZWN0cyBhcmUgYWxyZWFkeSBkZWFsLg==
gabriel_s@/projects/ items [F@proposal.docx;;F@budget.xlsx;;F@timeline.pdf]
irene_l@/ items [D@projects]
